n_compared,mae_score,mae_category,rmse_category,mape_category,r2_category,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,qwk,spearman_category,cat1_precision,cat1_recall,cat1_f1,cat1_support,cat2_precision,cat2_recall,cat2_f1,cat2_support,cat3_precision,cat3_recall,cat3_f1,cat3_support,cat4_precision,cat4_recall,cat4_f1,cat4_support,cat5_precision,cat5_recall,cat5_f1,cat5_support,dataset
23,0.9130434782608695,0.13043478260869565,0.3611575592573076,13.043478260869565,,0.8695652173913043,0.5,0.8695652173913043,0.9302325581395349,1.0,0.8695652173913043,0.9302325581395349,0.0,,1.0,0.8695652173913043,0.9302325581395349,23,0.0,,,0,,,,0,,,,0,,,,0,30000_Spotify_Songs
15,22.0,0.6,1.0,33.33333333333333,0.3983957219251335,0.5333333333333333,0.6666666666666666,0.5,1.0,1.0,0.5333333333333333,1.0,0.6218487394957983,0.9599027770852553,,0.0,,1,1.0,1.0,1.0,1,,0.0,,6,0.0,,,0,1.0,1.0,1.0,7,Adult_Census_Income
15,16.666666666666668,0.4,0.6324555320336759,14.444444444444443,0.7593582887700534,0.6,0.625,0.5416666666666667,0.75,0.7857142857142857,0.6,0.6785714285714286,0.8668639053254438,0.9780469398599063,1.0,1.0,1.0,1,,0.0,,1,0.5,0.16666666666666666,0.25,6,0.0,,,0,1.0,1.0,1.0,7,Adult_income_dataset
20,2.55,0.15,0.5,15.0,0.8272884283246977,0.9,0.7,0.96875,0.9,0.975,0.9,0.93,0.9161073825503356,0.8283368603574723,1.0,0.875,0.9333333333333333,16,0.5,1.0,0.6666666666666666,1,0.0,,,0,1.0,1.0,1.0,2,1.0,1.0,1.0,1,Amazon_Sales_Dataset
25,15.6,0.68,1.3114877048604001,47.0,0.21761280931586613,0.72,0.6771978021978022,0.6933333333333334,0.7309523809523809,0.8274225774225775,0.72,0.8056277056277055,0.653337633021606,0.7470666297430626,0.9230769230769231,0.8,0.8571428571428571,15,,0.0,,3,0.5,1.0,0.6666666666666666,1,0.2857142857142857,0.6666666666666666,0.4,3,1.0,1.0,1.0,3,Arrest_Data_in_Los_Angeles_
20,2.5,0.05,0.22360679774997896,5.0,0.9802176063303659,0.95,0.75,0.9743589743589745,0.9866666666666667,1.0,0.95,0.974,0.9899799599198397,0.9611210463251492,1.0,0.9230769230769231,0.9600000000000001,13,0.0,,,0,,,,0,1.0,1.0,1.0,5,1.0,1.0,1.0,2,Bank_Marketing_Data_Set_
14,5.714285714285714,0.21428571428571427,0.4629100498862757,17.857142857142858,0.8962962962962963,0.7857142857142857,0.8,0.8,0.7942857142857143,0.7857142857142857,0.7857142857142857,0.7795918367346939,0.9454545454545454,0.9415863156380738,0.5,0.3333333333333333,0.4,3,0.5,0.6666666666666666,0.5714285714285715,3,1.0,1.0,1.0,3,1.0,1.0,1.0,2,1.0,1.0,1.0,3,Bank_personal_loan_
7,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,7,,,,0,,,,0,,,,0,,,,0,Best_Selling_Mobile_Phones_
128,1.421875,0.09375,0.3535533905932738,8.203125,0.944963990110717,0.921875,0.4782608695652174,0.6412698412698413,0.9574707470747075,0.9855072463768115,0.921875,0.9594209420942096,0.9729986288366206,0.8881095556294977,1.0,0.9238095238095239,0.9603960396039605,105,0.0,,,0,0.0,,,0,,0.0,,2,0.9130434782608695,1.0,0.9545454545454545,21,COMPAS_Recidivism_Racial_Bias
6,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,6,,,,0,,,,0,,,,0,,,,0,Computer_Games_Dataset_
10,4.0,0.2,0.6324555320336759,20.0,0.8809523809523809,0.9,0.6666666666666666,0.9285714285714286,0.9615384615384615,1.0,0.9,0.946153846153846,0.9397590361445783,0.9128709291752768,1.0,0.8571428571428571,0.923076923076923,7,,,,0,0.0,,,0,,,,0,1.0,1.0,1.0,3,Connecticut_inmates_awaiting_trial_
36,20.555555555555557,0.9166666666666666,1.2583057392117916,29.259259259259252,-0.17391304347826075,0.4166666666666667,0.5430194805194805,0.5798611111111112,0.4111336032388664,0.7168109668109668,0.4166666666666667,0.3594691857849752,0.6673151750972762,0.8463199023947137,0.25,1.0,0.4,4,,,,0,1.0,0.1111111111111111,0.19999999999999998,18,0.2857142857142857,0.3333333333333333,0.30769230769230765,6,0.6363636363636364,0.875,0.7368421052631579,8,Credit-scoring_data
48,7.1875,0.3541666666666667,0.7216878364870323,15.277777777777777,0.804177545691906,0.7291666666666666,0.7571428571428571,0.5166666666666666,0.6996336996336996,0.8095238095238096,0.7291666666666666,0.7883782883782883,0.9027867790019443,0.865169218705023,0.7857142857142857,0.9166666666666666,0.8461538461538461,24,0.0,0.0,,4,1.0,0.16666666666666666,0.2857142857142857,6,1.0,0.5,0.6666666666666666,4,1.0,1.0,1.0,10,Employee_Attrition_Classification_Dataset
8,1.25,0.125,0.3535533905932738,6.25,0.9562841530054644,0.875,0.9166666666666667,0.6666666666666666,0.9545454545454546,0.880952380952381,0.875,0.935064935064935,0.9787234042553191,0.8728715609439694,0.8333333333333334,1.0,0.9090909090909091,5,,0.0,,1,,,,0,,,,0,1.0,1.0,1.0,2,Employee_Data_
31,7.741935483870968,0.3225806451612903,0.672021505032247,16.666666666666664,0.8190158465387822,0.7419354838709677,0.7377819548872181,0.6066666666666667,0.7267156862745097,0.7638540796435535,0.7419354838709677,0.7877632534495278,0.9177718832891246,0.8573543147609769,0.7368421052631579,0.9333333333333333,0.8235294117647058,15,,0.0,,4,0.5,0.5,0.5,2,1.0,0.6,0.7499999999999999,5,0.7142857142857143,1.0,0.8333333333333333,5,Employee_Dataset_Retail_
12,7.5,0.5,0.7071067811865476,29.444444444444446,0.8363636363636364,0.5,0.35,0.3375,0.7619047619047619,0.6458333333333334,0.5,0.7513227513227512,0.912621359223301,0.8689261647220448,0.75,0.6,0.6666666666666665,5,0.0,0.0,,2,0.0,0.0,,1,0.0,,,0,1.0,0.75,0.8571428571428571,4,Employee_Performance_and_Salary_Dataset
